platform,id,sort,rank,parent_id,text,likes,likes_display,published_utc,published_label,creator,url
youtube,UgyPh6y6NEnqozz2Nll4AaABAg,newest,30,,GREED!!!!!,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyPh6y6NEnqozz2Nll4AaABAg
youtube,UgxVD9f8RlGCxy3EDjV4AaABAg,newest,31,,Taxation is theft. It cannot be reformed. It is designed to enrich governments and and its cronies.,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxVD9f8RlGCxy3EDjV4AaABAg
youtube,Ugw74H6s9j9sOSPMiM94AaABAg,newest,32,,"Inequality has always been the product of cronyism, known as Merchantism in the past",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugw74H6s9j9sOSPMiM94AaABAg
youtube,UgxBxMPzTtK3nEd-sLl4AaABAg,newest,33,,"Kick the governments out. Those are doing badly. Increasing disparity is also the miracle of governments, thanks to the central banks.",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxBxMPzTtK3nEd-sLl4AaABAg
youtube,UgwkgQ6CkKF1ZFQPW414AaABAg,newest,34,,"With growing populations, planets are not fixable. You must get off the surface.",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwkgQ6CkKF1ZFQPW414AaABAg
youtube,Ugw1jVzdPpyM-dZs7zR4AaABAg,newest,35,,"Yes, a trip to Mars is not within the laws of Physics and Biology.",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugw1jVzdPpyM-dZs7zR4AaABAg
youtube,Ugxe555N5R6Xn_Fijs94AaABAg,newest,36,,"Yes, but that joke is imitated from data. AI behavior will always be robotic. In my lifetime, every new major technology was going to end the world, but every single one of those turned out to be beneficial overall.",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugxe555N5R6Xn_Fijs94AaABAg
youtube,Ugx0_3TNJ5iGL1KYovd4AaABAg,newest,37,,"Das Timing-Problem: Er warnt allerdings schon seit geraumer Zeit vor massiven Markt-Korrekturen. Wie Keynes schon sagte: „Der Markt kann länger irrational bleiben als du liquide.“ Selbst wenn eine Überbewertung vorliegt, kann ein solcher Hype noch Jahre weiterlaufen.",,1,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugx0_3TNJ5iGL1KYovd4AaABAg
youtube,UgzaObBTUbsZKLkeCKp4AaABAg,newest,38,,"​Kein Börsenwert, sondern Infrastruktur: Ein KI-Modell ist kein Spekulationsobjekt an der Börse, sondern ein Software-Werkzeug. Selbst wenn KI-Aktien an den Märkten um 30 % korrigieren würden, bleibt die zugrundeliegende Rechenleistung, Software und Nutzen im Alltag exakt dieselbe.",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzaObBTUbsZKLkeCKp4AaABAg
youtube,UgyvF5PKgOOc02RnSBp4AaABAg,newest,39,,"​Fundamentaler Unterschied zu 2000: Im Jahr 2000 hatten viele Internetfirmen keinerlei Umsatz oder Gewinne. Die heutigen KI-Treiber (Microsoft, Alphabet, Meta etc.) erwirtschaften gigantische Cashflows aus ihrem Kerngeschäft und finanzieren die KI-Investitionen größtenteils aus eigener Tasche – nicht über faule Kredite.",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyvF5PKgOOc02RnSBp4AaABAg
youtube,Ugz6J7Wz1JVhAVsq89d4AaABAg,newest,40,,I think AI is gonna make people not want to learn anymore basically make us even dumber or maybe it could be the opposite ai could become a teacher for us,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugz6J7Wz1JVhAVsq89d4AaABAg
youtube,UgymYFzugcTWlnDgEdx4AaABAg,newest,41,,Wow probably one of the best videos I have ever watched thank you so much,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgymYFzugcTWlnDgEdx4AaABAg
youtube,Ugykry8QW9yIee3fLXl4AaABAg,newest,42,,Gold is the only thing you should be holding in my opinion cash loses it’s value over time gold does not,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugykry8QW9yIee3fLXl4AaABAg
youtube,UgzDNaJXVR-5qjafBSh4AaABAg,newest,43,,Интересная тема...,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzDNaJXVR-5qjafBSh4AaABAg
youtube,UgwBRcRcuQwYnfsIL114AaABAg,newest,44,,Erster wird Palantir! Keine Frage!,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwBRcRcuQwYnfsIL114AaABAg
youtube,UgzhFtbyfVkBcPcC3f54AaABAg,newest,45,,"Do you really need to be schilling shite green powder, instead of championing the eating of whole foods, and exercising?",, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzhFtbyfVkBcPcC3f54AaABAg
youtube,UgyZz8fV6GMAumvZ0Cx4AaABAg,newest,46,,harika,, ,,3 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyZz8fV6GMAumvZ0Cx4AaABAg
youtube,UgwAesxczu-IdUA_dit4AaABAg,newest,47,,"Keyes was proving wrong by Ludwig Von Mises. Keynesian economics Is partly why we in the messes we are in , Austrian economics is the best route. Be blessed.",, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwAesxczu-IdUA_dit4AaABAg
youtube,UgySj-61jblzHHI6xkR4AaABAg,newest,48,,Another DUMB ASS!,, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgySj-61jblzHHI6xkR4AaABAg
youtube,UgxnKpC87p5BMTndSq14AaABAg,newest,49,,I love this man.,, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxnKpC87p5BMTndSq14AaABAg
youtube,UgyMP-NGaGt22EoVnHh4AaABAg,newest,50,,Amazing video,, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyMP-NGaGt22EoVnHh4AaABAg
youtube,UgwzmcGBWdV2heqOWXt4AaABAg,newest,51,,"La cuestión no es que vendas, sino en que lo reemplazas?",, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwzmcGBWdV2heqOWXt4AaABAg
youtube,UgzTgzoSznwvOq-x4PB4AaABAg,newest,52,,E la geoingegneria climatica causate dalle strisce degli aerei che si vedono nel cielo?,, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzTgzoSznwvOq-x4PB4AaABAg
youtube,UgwxMtBc-jsXWFmt0Zp4AaABAg,newest,53,,this interview made me like Jeremy even more,, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwxMtBc-jsXWFmt0Zp4AaABAg
youtube,UgxRx_6hITAWn2iqHa54AaABAg,newest,54,,I like british will smith podcast,, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxRx_6hITAWn2iqHa54AaABAg
youtube,UgzRDpQljNnSXFP1OAp4AaABAg,newest,55,,The hot hand falacy,, ,,4 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzRDpQljNnSXFP1OAp4AaABAg
youtube,Ugy6yM5EjZl_e_Tc1dZ4AaABAg,newest,56,,SO STUPID OLD MIND. BUT HE HALF TRUE 👍,, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugy6yM5EjZl_e_Tc1dZ4AaABAg
youtube,UgzwegtL-PanM3O1r_l4AaABAg,newest,57,,"yup the food is def different, they're ultimately killing us imo",, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzwegtL-PanM3O1r_l4AaABAg
youtube,Ugw1rMptAKmS_EfB0Yx4AaABAg,newest,58,,Why no mention of gold silver,, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugw1rMptAKmS_EfB0Yx4AaABAg
